   1.0000000000  -0.0183196161   0.8908258404  -0.4539223673  -0.0069330393  -0.0190144991   0.8903338322  -0.4548600084  -0.0068002597
   2.0000000000  -0.0408284623   0.8901949221  -0.4535361268  -0.0138162137  -0.0384906899   0.8898320124  -0.4545310188  -0.0109085200
   3.0000000000  -0.0633146662   0.8890703252  -0.4528983672  -0.0206917260  -0.0570799010   0.8895599837  -0.4530309983  -0.0137087403
   4.0000000000  -0.0857657574   0.8874526734  -0.4520094420  -0.0275557632  -0.0782054581   0.8880550620  -0.4526202988  -0.0194126495
   5.0000000000  -0.1081692852   0.8853428638  -0.4508698444  -0.0344045187  -0.1014192570   0.8855985566  -0.4525046964  -0.0258587792
   6.0000000000  -0.1305128251   0.8827420665  -0.4494802062  -0.0412341943  -0.1247919325   0.8836829026  -0.4499473188  -0.0328483206
   7.0000000000  -0.1527839861   0.8796517237  -0.4478412981  -0.0480410026  -0.1461978118   0.8806971594  -0.4487845154  -0.0398902705
   8.0000000000  -0.1749704171   0.8760735493  -0.4459540291  -0.0548211686  -0.1625063639   0.8792732590  -0.4457107006  -0.0425712410
   9.0000000000  -0.1970598141   0.8720095276  -0.4438194457  -0.0615709322  -0.1863098202   0.8742521090  -0.4450984405  -0.0534722801
  10.0000000000  -0.2190399269   0.8674619126  -0.4414387317  -0.0682865502  -0.2135341632   0.8678248572  -0.4440927766  -0.0637562409
  11.0000000000  -0.2408985659   0.8624332260  -0.4388132075  -0.0749642983  -0.2378278035   0.8626892737  -0.4399741679  -0.0750183179
  12.0000000000  -0.2626236089   0.8569262568  -0.4359443290  -0.0816004731  -0.2579809952   0.8573858326  -0.4380274089  -0.0804203316
  13.0000000000  -0.2842030077   0.8509440590  -0.4328336873  -0.0881913945  -0.2804103619   0.8514164642  -0.4344060930  -0.0880421106
  14.0000000000  -0.3056247951   0.8444899500  -0.4294830074  -0.0947334072  -0.3048976993   0.8444701295  -0.4291451350  -0.0987009466
  15.0000000000  -0.3268770910   0.8375675092  -0.4258941476  -0.1012228833  -0.3234749350   0.8376816071  -0.4277949966  -0.1031746416
  16.0000000000  -0.3479481094   0.8301805757  -0.4220690981  -0.1076562238  -0.3435566778   0.8310273611  -0.4234358196  -0.1098387425
  17.0000000000  -0.3688261649   0.8223332459  -0.4180099803  -0.1140298610  -0.3655606749   0.8242270490  -0.4161677855  -0.1175568016
  18.0000000000  -0.3894996792   0.8140298719  -0.4137190451  -0.1203402603  -0.3884488305   0.8149400289  -0.4114603405  -0.1252224002
  19.0000000000  -0.4099571871   0.8052750584  -0.4091986722  -0.1265839220  -0.4093300177   0.8061191045  -0.4075688077  -0.1284856693
  20.0000000000  -0.4301873436   0.7960736606  -0.4044513685  -0.1327573835  -0.4308164064   0.7968904897  -0.4008502453  -0.1366822052
  21.0000000000  -0.4501789295   0.7864307814  -0.3994797668  -0.1388572214  -0.4513067256   0.7869564702  -0.3962055249  -0.1415732718
  22.0000000000  -0.4699208579   0.7763517686  -0.3942866241  -0.1448800526  -0.4684536402   0.7780833963  -0.3919952518  -0.1465504869
  23.0000000000  -0.4894021806   0.7658422115  -0.3888748204  -0.1508225372  -0.4846597901   0.7687934016  -0.3887354540  -0.1514799038
